LCLid,total_daily,total_weekly,total_monthly,total_annual,min_cons,min_time,max_cons,max_time,peak_duration,avg_weekday,avg_weekend,avg_monthly,avg_seasonal,load_factor,ramp_rate,activation_hour,deactivation_hour,load_shift,occupancy_rate,variance,std_dev,weekends_impact,annual_trend,autocorr,crest_factor,kmeans_cluster,dbscan_cluster
MAC004626,5894.6110001,5894.6110001,5894.611000100001,5894.6110001,0.031,10:30:00,2.059,10:30:00,38,0.20278992932454845,0.213044485245098,294.73055000500005,0.2033330872860518,0.10000528816207149,0.10462331446936522,15.112040133779264,7.625418060200669,0.16845041334129612,0.8996655518394648,0.05088923835293554,0.2255864321118084,1.0346440976356188,,0.41832811601844966,6.7413419090297495,2,-1
MAC004627,6550.047998099999,6550.047998099998,6550.047998100001,6550.0479981,0.005,12:00:00,3.5179999,17:00:00,4,0.2259609106273494,0.23453422228175833,327.502399905,0.22993014497712494,0.06503657336359757,0.19085283108953455,6.436454849498328,5.245819397993311,0.05611319680777188,0.8996655518394648,0.11437174467349463,0.33818891861427786,1.0250849257438428,,0.5133470916720598,8.616014714663333,2,-1
MAC004628,6591.477,6591.477,6591.476999999999,6591.477,0.044,03:30:00,1.796,16:00:00,46,0.22677007318613074,0.24168984925401538,329.57385,0.2265395776935521,0.128203703373776,0.09063805627052239,15.993311036789297,6.5719063545150505,0.0694213623159019,0.8996655518394648,0.05748830569205655,0.23976719060800739,1.049676770979582,,0.2704549939211649,5.402801796612048,2,-1
MAC004629,5024.6170019,5024.617001899999,5024.6170019,5024.6170019,0.007,07:30:00,1.952,08:30:00,18,0.17785204620914796,0.16849198225099085,251.230850095,0.17101312001090202,0.08993384734966897,0.07368145774081795,9.578595317725753,4.831103678929765,0.1378230004755937,0.8996655518394648,0.05412993764457646,0.2326584140850626,0.9598591334559379,,0.7160875679778069,6.6974264345502785,0,-1
MAC004630,4453.3499999,4453.3499999000005,4453.3499999,4453.3499999,0.0,10:30:00,2.286,10:00:00,22,0.1555515514088081,0.15526507354166663,222.667499995,0.15457331411953998,0.06805103967642905,0.10143537342974861,13.045150501672241,7.75752508361204,0.10442056911668615,0.8996655518394648,0.032951693384301116,0.18152601296866824,0.9980740926217615,,0.20815152314187135,9.562350260372812,0,-1
MAC004631,2710.2789963999994,2710.2789964,2710.2789964,2710.2789964,0.047,04:30:00,4.6389999,14:30:00,56,0.30910817851851846,0.27934831380680325,387.18271377142855,0.3025374899150985,0.06496583771578932,0.18399766396797018,11.603174603174603,5.862433862433862,0.14588553203564955,0.8994708994708995,0.21589545122963735,0.46464551136284243,0.9269829781561834,,0.04512253417629499,8.376604441601419,2,-1
MAC004632,2786.912,2786.9119999999994,2786.912,2786.9120000000003,0.0,12:00:00,0.586,09:00:00,10,0.09626252319878038,0.09994681372549016,139.34560000000005,0.09679302316942043,0.1661364677425159,0.040144524017464524,9.429765886287626,10.112040133779264,0.05069097822156446,0.9013377926421404,0.003843489141125079,0.06199588003347544,1.026612067300966,,0.40649583444534276,5.077154774793746,0,-1
MAC004634,3844.0089999,3844.0089999,3844.0089999,3844.0089998999997,0.005,03:00:00,2.9779999,19:30:00,3,0.12616486123325482,0.15658051470588238,192.20044999500004,0.1341460673334301,0.045223076045387875,0.09718958027468391,15.1892797319933,7.152428810720268,0.027161658963478122,0.8994974874371859,0.08127801316103335,0.2850929903751289,1.1626605534394765,,0.08032616311490981,9.445055999941056,0,-1
MAC004635,9270.554999200001,9270.5549992,9270.5549992,9270.5549992,0.111,14:00:00,2.2019999,10:30:00,28,0.30805369878039707,0.3645390825975178,463.52774996,0.3218331281349704,0.14726673774770033,0.11025763454717168,14.845896147403685,5.547738693467337,0.18337213075219053,0.8994974874371859,0.05899915036351378,0.24289740707449675,1.1241615587634877,,0.33317443134783997,5.434875608413562,2,-1
MAC004636,26116.855995500002,26116.8559955,26116.855995499995,26116.8559955,0.102,04:00:00,3.7360001,07:30:00,33,0.8904764383459606,0.9693902941176472,1305.842799775,0.8772750172577026,0.24457170204081957,0.17856759491288246,15.256281407035177,6.969849246231155,0.17281707596143336,0.8994974874371859,0.28877597451735104,0.5373787998398811,1.0609689718546884,,0.5845503441478592,3.524450083315218,3,-1
